,delito,esco_apro,esco_act,continuidadEscolar,ocupacion
33,HURTO AGRAVADO Y CALIFICADO,BACHILLER,BACHILLER,No,TRABAJA
34,HURTO,QUINTO,QUINTO,No,CESANTE
35,HURTO,QUINTO,QUINTO,No,CESANTE
36,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",NOVENO,DECIMO,Si,TRABAJA
37,VIOLENCIA INTRAFAMILIAR,SEXTO,SEXTO,No,CESANTE
38,HURTO,QUINTO,CICLO III,Si,CESANTE
39,VIOLENCIA INTRAFAMILIAR,NOVENO,CICLO V,Si,CESANTE
40,EXTORSION EN GRADO DE TENTATIVA,SEPTIMO,CICLO IV,Si,TRABAJA
41,HURTO AGRAVADO Y CALIFICADO,QUINTO,QUINTO,No,CESANTE
42,PORTE DE ESTUPEFACIENTES,QUINTO,CICLO III,Si,CESANTE
43,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,ESTUDIA
44,PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,ESTUDIA
45,HURTO,DECIMO,DECIMO,No,TRABAJA
46,HURTO AGRAVADO Y CALIFICADO,QUINTO,BACHILLER,Si,TRABAJA
47,VIOLENCIA INTRAFAMILIAR,SEPTIMO,SEPTIMO,No,CESANTE
48,HURTO AGRAVADO Y CALIFICADO,SEXTO,SEXTO,No,CESANTE
49,HURTO,SEXTO,SEXTO,No,CESANTE
50,PORTE DE ESTUPEFACIENTES,QUINTO,CICLO III,Si,CESANTE
51,HURTO AGRAVADO,QUINTO,CICLO III,Si,CESANTE
52,HURTO AGRAVADO,CUARTO,CUARTO,No,ESTUDIA Y TRABAJA
53,HURTO AGRAVADO Y CALIFICADO,SEXTO,SEXTO,No,CESANTE
54,VIOLENCIA CONTRA SERVIDOR PUBLICO,TERCERO,TERCERO,No,TRABAJA
55,VIOLENCIA INTRAFAMILIAR,QUINTO,CICLO III,Si,CESANTE
56,HURTO AGRAVADO Y CALIFICADO,NOVENO,NOVENO,No,CESANTE
57,HURTO Y PORTE ILEGAL DE ARMAS,NOVENO,NOVENO,No,CESANTE
58,HURTO,OCTAVO,OCTAVO,No,CESANTE
59,PORNOGRAFIA INFANTIL,QUINTO,QUINTO,No,CESANTE
60,VENTA Y PORTE DE ESTUPEFACIENTES,BACHILLER,BACHILLER,No,CESANTE
61,HURTO,CUARTO,CUARTO,No,CESANTE
62,HURTO AGRAVADO,SEPTIMO,CICLO IV,Si,TRABAJA
63,RECEPTACION,QUINTO,QUINTO,No,ESTUDIA
64,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,TRABAJA
65,PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,CESANTE
66,HURTO Y PORTE ILEGAL DE ARMAS,SEXTO,SEXTO,No,CESANTE
67,RECEPTACION,QUINTO,QUINTO,No,CESANTE
68,HURTO AGRAVADO Y CALIFICADO,NOVENO,NOVENO,No,CESANTE
69,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,SEPTIMO,SEPTIMO,No,ESTUDIA
70,EXTORSION EN GRADO DE TENTATIVA,NOVENO,DECIMO,Si,ESTUDIA
71,HURTO AGRAVADO Y CALIFICADO,NOVENO,NOVENO,No,CESANTE
72,HURTO AGRAVADO Y CALIFICADO,NOVENO,NOVENO,No,CESANTE
73,HURTO,QUINTO,QUINTO,No,CESANTE
74,HURTO AGRAVADO,QUINTO,QUINTO,No,ESTUDIA
75,VIOLENCIA INTRAFAMILIAR,CUARTO,CUARTO,No,CESANTE
